Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",4,4.16,Vintage Books,Paperback,351,2010,1985,2025/01/08,2023/05/10,,,read,"A mountain that actively resists being climbed. I can't believe I actually finished this thing. <br/>In a lesser writer's hands, the creepy premise would be a little questionable, but McCarthy is more than capable of creating a world of grand, stark pain and beauty. <br/>The use of antiquated words was tough, made me feel like I wasn't quite ready for the terrain and didn't recognize any of the surroundings (rather like the kid in an alien (to him) landscape, adjusting himself to mysterious *ocotillo* and *estancias* rather than the familiar grass and little towns of his youth...)<br/>Longer paragraphs felt like big oil paintings.<br/>The bulk of the book stretches on for so long it becomes dry and featureless slogging , but somehow it's *good slogging* (does such a thing exist??) I felt like I was there with them, just as bored and terrified as they were.<br/>Funny, I felt like I was racing towards the end of the book, but now I kind of wish there was another, like, 600 pages of that same literary masochism.",,,1,0
77265004,The Iliad,Homer,"Homer, Homer",Emily Wilson,"=""1324001801""","=""9781324001805""",0,3.92,W. W. Norton & Company,Hardcover,848,2023,-800,,2025/01/03,to-read,to-read (#29),to-read,,,,0,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",2,4.06,Knopf,Hardcover,259,2022,2022,2024/12/22,2024/12/21,,,read,"Lowering to 2 stars in retrospect. Proficiently written prose is the only good thing going on here. <br/>It flails around for the first few hundred pages, only introduces the (frankly tired and lame) philosophical quandary it's supposedly all about like halfway through in a really forced, predictable way, and barely lets you know the characters or connect them together (I kind of liked Olive, but we don't get enough of her... and we get way too much of the non-entity Gaspery)<br/>Desperately wants to be Station Eleven with the multiple eras in contrast, but due to its own mechanics, has a really hard time doing the perversely Homestuck-esque narrative simultaniety tricks that make that book so great.<br/>All builds up to this big culminating scene that feels a little stupid and over-the-top rather than cool and revelatory as it could have been if it was set up better<br/>Worldbuilding is ass (well, I liked the midnight city, but we only got glimpses of it). Everything about the future here reveals an almost upsettingly shaky understanding of how the world/geopolitics/historiography works - which is bizarre when Station Eleven's ""20 years later"" was so visceral and real!<br/>The entire plot feels like an 'afterthought' to write all these cool settings/scenes/imagery, except it just all becomes about the afterthought characters you don't care about...<br/>",,,1,0
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",0,4.25,Small Beer Press,ebook,281,2010,2002,,2024/12/29,to-read,to-read (#28),to-read,,,,0,0
7147831,"Min kamp 1 (Min kamp, #1)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""8252574580""","=""9788252574586""",0,4.10,Forlaget okober,Hardcover,435,2009,2009,,2024/12/28,to-read,to-read (#27),to-read,,,,0,0
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.01,Random House,Paperback,509,2004,2004,,2024/12/21,to-read,to-read (#26),to-read,,,,0,0
150247395,"The Tainted Cup (Shadow of the Leviathan, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1984820702""","=""9781984820709""",0,4.31,Del Rey,Hardcover,410,2024,2024,,2024/12/18,to-read,to-read (#25),to-read,,,,0,0
35024211,In on the Kill Taker,Joe Gross,"Gross, Joe",,"=""1501321390""","=""9781501321399""",3,4.23,Bloomsbury Academic,Paperback,184,2018,2018,2024/12/18,2024/12/18,,,read,,,,1,0
60113,"Making Comics: Storytelling Secrets of Comics, Manga and Graphic Novels",Scott McCloud,"McCloud, Scott",,"=""""","=""""",3,4.35,William Morrow Paperbacks,Paperback,264,2006,2006,2024/12/17,2024/11/26,,,read,,,,1,0
44450,The Portable Dorothy Parker,Dorothy Parker,"Parker, Dorothy",Marion Meade,"=""0143039539""","=""9780143039532""",0,4.34,Penguin Books,Paperback,626,2006,1944,,2024/12/02,currently-reading,currently-reading (#1),currently-reading,,,,1,0
